N,d,var,E_in_bar,E_out_bar,E_bias
2,0,0.01,0.070627192,0.613830055,0.608448562
2,0,0.1,0.977450145,0.607900367,0.594848355
2,0,1,0.426239721,1.75158513,1.749680976
2,1,0.01,0.005385647,5.917140783,0.574045365
2,1,0.1,0.010047755,7.50897729,0.651318167
2,1,1,0.253105112,9.373140543,3.324897694
2,2,0.01,0.027583518,0.630925585,0.472020604
2,2,0.1,0.043929757,11.69749254,1.018704206
2,2,1,0.007754519,3.246197865,2.93906274
2,3,0.01,0.044442591,1.770317039,0.903592246
2,3,0.1,0.106650451,1.888561293,1.009786313
2,3,1,8.30E-05,3.096751156,2.349966159
2,4,0.01,0.004666685,1.019062421,0.55091887
2,4,0.1,0.026437237,1.113267752,0.607155882
2,4,1,0.000160226,3.149167979,2.380755656
2,5,0.01,0.075790561,3.391200528,0.429131878
2,5,0.1,0.484840111,14.12992542,7.415199518
2,5,1,0.354393276,28.23765303,3.821839384
2,6,0.01,0.151242757,9.146931514,2.152418095
2,6,0.1,0.03569541,4.57432592,2.149952106
2,6,1,0.465593544,26.55493643,1.804850531
2,7,0.01,0.451894511,22.05750424,2.316137946
2,7,0.1,0.598741307,20.73590003,4.234563644
2,7,1,0.03952415,23.89474418,16.3653459
2,8,0.01,0.134875049,3.62053809,0.252517075
2,8,0.1,0.574488064,9.922940908,0.646140264
2,8,1,0.376251341,7.296407494,2.284887762
2,9,0.01,0.331809587,19.37104391,0.913875928
2,9,0.1,1.04E-05,2.602053902,0.636572863
2,9,1,0.093320466,7.33009954,2.029727858
2,10,0.01,0.445586865,29.16690053,4.520730247
2,10,0.1,0.066581661,35.37358226,0.643236156
2,10,1,0.029666266,35.8108199,4.291121511
2,11,0.01,0.502169294,41.17042598,0.980425363
2,11,0.1,0.200355804,8.405748183,0.53504501
2,11,1,0.004968753,7.289600229,4.538601513
2,12,0.01,2.45E-06,3.362546216,0.568515382
2,12,0.1,0.015651934,7.11867708,1.42081787
2,12,1,2.76892532,50.02537258,3.917561899
2,13,0.01,0.289001005,27.13967504,0.500498469
2,13,0.1,0.095331515,50.98890881,0.770228029
2,13,1,0.685813223,34.60453305,3.428820813
2,14,0.01,0.201401309,30.42727076,3.308898333
2,14,0.1,0.01928383,32.26364159,1.534276796
2,14,1,7.24E-05,5.066786339,1.535385508
2,15,0.01,0.091075228,21.9805331,4.308863471
2,15,0.1,0.317783654,44.05538042,3.714663408
2,15,1,0.511313718,42.83706921,6.143058548
2,16,0.01,0.406462595,25.67206679,0.671019486
2,16,0.1,0.270793149,18.02934183,1.615777452
2,16,1,0.031857042,25.34053856,12.06337712
2,17,0.01,0.000782807,10.39290111,1.269392764
2,17,0.1,0.303873763,50.71846732,1.501977302
2,17,1,1.67E-08,5.099765559,1.980921998
2,18,0.01,8.38E-08,5.651334855,0.973682428
2,18,0.1,0.070831401,46.50214888,5.392495378
2,18,1,0.437461258,13.80003734,1.684681761
2,19,0.01,0.485656445,55.99793791,1.609646242
2,19,0.1,0.053743672,32.32711705,4.182181773
2,19,1,0.000138546,9.606034496,1.916634376
2,20,0.01,0.357734912,45.55921395,4.760296996
2,20,0.1,1.99E-07,12.01199335,1.344673224
2,20,1,6.18E-05,12.76279124,3.51847817
5,0,0.01,0.26847012,0.532137697,0.529623795
5,0,0.1,0.651050092,0.608293936,0.615100288
5,0,1,1.564290493,2.404999976,2.32447445
5,1,0.01,0.118193942,0.722889218,0.615034009
5,1,0.1,0.955674244,0.844604975,0.644617147
5,1,1,1.698791929,2.020567858,1.91577904
5,2,0.01,0.462752322,1.192420371,0.950966265
5,2,0.1,0.254046465,0.965313184,0.785970599
5,2,1,0.761573755,2.117167139,1.859145305
5,3,0.01,0.321660599,1.184439591,0.686223384
5,3,0.1,0.512149482,0.564987845,0.372150348
5,3,1,2.013510303,2.854452946,2.571539461
5,4,0.01,0.097304695,5.8761479,2.621880978
5,4,0.1,0.188280154,0.72647998,0.494227978
5,4,1,0.413060549,2.21592092,1.292249065
5,5,0.01,0.056873091,7.614648102,4.007841077
5,5,0.1,0.338638297,14.72241096,0.842497806
5,5,1,0.192354753,2.87370449,1.444065462
5,6,0.01,0.131118404,10.63323093,3.258377505
5,6,0.1,0.355519042,0.609422709,0.340265485
5,6,1,1.291883182,2.284469376,1.370463538
5,7,0.01,0.357136735,0.723130732,0.332989507
5,7,0.1,0.684136531,0.87237917,0.404448182
5,7,1,0.328555882,1.598551343,1.211183791
5,8,0.01,0.325191516,1.296404569,0.382625845
5,8,0.1,0.400561858,0.85141911,0.510445761
5,8,1,0.508443896,5.300587494,2.586823959
5,9,0.01,0.27330635,1.261853496,0.282371413
5,9,0.1,0.330993333,1.47248467,0.598187216
5,9,1,0.277359221,8.129517962,1.188867015
5,10,0.01,0.173204249,3.18758259,0.876270166
5,10,0.1,0.224886521,2.080332982,0.735180078
5,10,1,1.140524815,2.27495105,1.13358022
5,11,0.01,0.218284588,24.56558284,1.094295969
5,11,0.1,0.176323336,3.482216632,0.515997178
5,11,1,0.826834716,4.057854018,2.529859993
5,12,0.01,0.270279506,2.629473256,0.407563158
5,12,0.1,0.221244522,5.108446876,0.604304394
5,12,1,0.62640954,8.108831597,3.306144718
5,13,0.01,0.325452133,2.817244415,0.391056649
5,13,0.1,0.218211452,0.94341928,0.515532365
5,13,1,0.819832949,9.59269942,2.944803693
5,14,0.01,0.211313748,1.95714346,1.155816762
5,14,0.1,0.259014224,9.228456322,1.355947064
5,14,1,0.596575203,5.278651,1.74036578
5,15,0.01,0.256158804,0.637975041,0.282057338
5,15,0.1,0.263426824,1.196332281,0.708905486
5,15,1,0.266210706,7.646705515,4.406653127
5,16,0.01,0.18667682,2.207461657,0.906463718
5,16,0.1,0.414932235,7.812013951,0.941694608
5,16,1,0.419711874,5.501553955,1.25272959
5,17,0.01,0.102463018,1.205000953,0.285090841
5,17,0.1,0.165027011,2.786097011,1.178314611
5,17,1,0.250309846,14.96617011,2.597996623
5,18,0.01,0.171189456,1.426289804,0.368044916
5,18,0.1,0.130414764,8.074474847,2.209643803
5,18,1,0.673959488,6.260371093,2.431233669
5,19,0.01,0.102870332,4.46523419,0.618960005
5,19,0.1,0.23355563,2.912350559,0.925847271
5,19,1,0.195121417,2.135105292,1.710695087
5,20,0.01,0.149184454,15.56314407,2.130086713
5,20,0.1,0.412578535,3.261503688,0.51694181
5,20,1,1.487380757,9.08664107,1.915741418
10,0,0.01,0.369167944,0.619896493,0.595355795
10,0,0.1,0.587028718,0.613732039,0.607881054
10,0,1,1.175977143,1.577311713,1.554077226
10,1,0.01,0.363207289,0.596274345,0.580804525
10,1,0.1,0.315693187,0.998107867,0.868154732
10,1,1,0.391512447,1.572922896,1.587238709
10,2,0.01,0.501895012,0.576284569,0.467021615
10,2,0.1,0.468439036,0.531454331,0.448609958
10,2,1,0.553465421,1.523012528,1.415018486
10,3,0.01,0.393926358,0.518829577,0.321495879
10,3,0.1,0.352351815,2.66729526,1.529118727
10,3,1,1.273427099,1.53520501,1.289532563
10,4,0.01,0.322612788,0.655110312,0.407826197
10,4,0.1,0.48085893,0.886446462,0.528674676
10,4,1,0.9243687,3.458361931,1.957777045
10,5,0.01,0.239053057,3.552205669,0.564543941
10,5,0.1,0.392668321,5.224967583,1.263760196
10,5,1,0.965911944,1.865141111,1.560848376
10,6,0.01,0.433448124,1.81970836,0.289889805
10,6,0.1,0.513457529,2.166739284,0.537909433
10,6,1,1.172392941,12.57506811,8.365036191
10,7,0.01,0.328550241,0.489037048,0.278340314
10,7,0.1,0.311141111,2.012802604,0.825946686
10,7,1,0.782009544,1.880936194,1.662792461
10,8,0.01,0.332153098,0.79841181,0.260021614
10,8,0.1,0.293915686,0.577285233,0.236813485
10,8,1,0.89121321,2.189027765,1.433603266
10,9,0.01,0.372407229,1.533635545,0.435249316
10,9,0.1,0.376820566,1.008151614,0.303262337
10,9,1,0.793619422,4.327801246,1.200676875
10,10,0.01,0.308884111,0.494012905,0.233230355
10,10,0.1,0.553056904,5.171540169,0.652780391
10,10,1,0.851353312,1.953790458,1.641774384
10,11,0.01,0.277900035,0.606174715,0.182016347
10,11,0.1,0.385587063,0.512514453,0.335067899
10,11,1,0.913639473,2.632715612,2.218826273
10,12,0.01,0.270586394,0.590343051,0.326204398
10,12,0.1,0.213624092,0.834698493,0.427790421
10,12,1,1.120688712,1.828491879,1.552712089
10,13,0.01,0.298060377,0.404546381,0.250388032
10,13,0.1,0.455277262,1.225338071,0.580210966
10,13,1,0.909430915,3.282792822,1.970671311
10,14,0.01,0.318692693,0.550926468,0.266915781
10,14,0.1,0.337371261,0.857778615,0.547528487
10,14,1,1.214351951,2.072067494,1.525884417
10,15,0.01,0.175654732,1.083258129,0.187012537
10,15,0.1,0.508495585,22.97539773,2.626929378
10,15,1,0.989220855,2.137489567,1.644508194
10,16,0.01,0.300659822,0.955934545,0.313680987
10,16,0.1,0.389578972,2.875328968,0.41091729
10,16,1,0.9971828,6.027200101,1.533326933
10,17,0.01,0.215300832,1.437552379,0.425513718
10,17,0.1,0.469158121,0.656318356,0.341216999
10,17,1,0.792072443,1.576549354,1.353673269
10,18,0.01,0.356018325,0.68269614,0.273740649
10,18,0.1,0.317400256,1.1609482,0.366010085
10,18,1,1.063259651,7.382957789,4.128105696
10,19,0.01,0.401900305,2.763288693,0.327890084
10,19,0.1,0.204604123,23.8497214,3.446032912
10,19,1,0.977580666,2.225328665,1.408400123
10,20,0.01,0.45898303,0.757639243,0.299989071
10,20,0.1,0.289767872,0.679618129,0.241959225
10,20,1,0.66518677,20.00130619,2.685242751
20,0,0.01,0.483378464,0.557466958,0.539446378
20,0,0.1,0.692299218,0.62742478,0.629837113
20,0,1,0.790523714,1.564667273,1.521189593
20,1,0.01,0.375323717,0.55068124,0.566086837
20,1,0.1,0.783386261,0.661591258,0.640152767
20,1,1,1.176392477,1.631642255,1.690700496
20,2,0.01,0.458980512,0.484081172,0.404067539
20,2,0.1,0.554525445,0.562833403,0.474674053
20,2,1,1.280796028,1.422349231,1.414737318
20,3,0.01,0.252497093,0.512086753,0.369439149
20,3,0.1,0.30004671,0.3640965,0.257319543
20,3,1,1.277087579,1.295551946,1.216331081
20,4,0.01,0.157416931,0.18118864,0.103809644
20,4,0.1,0.323776226,0.508895533,0.374129153
20,4,1,1.242754062,1.485579314,1.349766203
20,5,0.01,0.236797503,0.616736127,0.158186191
20,5,0.1,0.292109198,0.298848646,0.230795873
20,5,1,1.21281124,1.408811857,1.274197854
20,6,0.01,0.134341223,0.216496184,0.13864964
20,6,0.1,0.311937079,0.307937226,0.237589279
20,6,1,1.01943935,1.938491277,1.683565397
20,7,0.01,0.17701835,0.208098622,0.145083196
20,7,0.1,0.341788102,0.322780096,0.236565212
20,7,1,0.446811257,1.218355494,1.185822181
20,8,0.01,0.196458014,0.306677082,0.216209031
20,8,0.1,0.194323029,0.31589341,0.232312462
20,8,1,1.141468734,1.460822066,1.379364799
20,9,0.01,0.220383894,0.326919424,0.228138742
20,9,0.1,0.316852073,0.335631881,0.242193156
20,9,1,1.365865299,1.345195993,1.239219648
20,10,0.01,0.210834293,0.417712511,0.205745924
20,10,0.1,0.159547462,0.668386568,0.391373041
20,10,1,0.629102803,1.463764725,1.289263762
20,11,0.01,0.162293673,0.785507848,0.29325776
20,11,0.1,0.404458758,0.440753641,0.353382037
20,11,1,0.985135686,1.972821038,1.650762217
20,12,0.01,0.259921892,0.287096913,0.140876423
20,12,0.1,0.341538413,0.396716277,0.287993559
20,12,1,1.380667887,1.641924564,1.245979212
20,13,0.01,0.201413321,0.409850138,0.20781459
20,13,0.1,0.320587,13.43416676,0.361116092
20,13,1,0.943047287,1.679378551,1.488361402
20,14,0.01,0.195234606,0.185661665,0.080478289
20,14,0.1,0.217899213,0.591206248,0.35513585
20,14,1,0.862103311,1.250738254,1.130740058
20,15,0.01,0.259030284,0.264886581,0.123048092
20,15,0.1,0.283243515,0.369676099,0.227819543
20,15,1,1.325665828,1.515355303,1.264593123
20,16,0.01,0.178587713,4.250446426,0.281734854
20,16,0.1,0.194718059,3.978710615,0.347254516
20,16,1,0.96016803,1.490938135,1.43583328
20,17,0.01,0.227807902,0.341450126,0.187315116
20,17,0.1,0.28908387,0.475951746,0.297236447
20,17,1,1.029443449,1.699136981,1.615051028
20,18,0.01,0.171024638,0.270264743,0.096346625
20,18,0.1,0.345277832,1.108261389,0.565859719
20,18,1,1.050717641,1.316599992,1.126312242
20,19,0.01,0.268414176,0.330985328,0.160224095
20,19,0.1,0.212960672,7.946436576,0.701325829
20,19,1,1.129797742,1.42481793,1.242872732
20,20,0.01,0.185896134,8.661185581,1.101366297
20,20,0.1,0.309622632,1.10220761,0.437948679
20,20,1,1.095070667,1.643242062,1.269456081
50,0,0.01,0.529648317,0.518111223,0.520117802
50,0,0.1,0.819450513,0.616650905,0.619939841
50,0,1,1.216867369,1.536831038,1.491776452
50,1,0.01,0.538525013,0.530310377,0.513900132
50,1,0.1,0.558552005,0.613682331,0.598188876
50,1,1,1.445658206,1.674530847,1.606564717
50,2,0.01,0.288623744,0.292403453,0.243837473
50,2,0.1,0.480359204,0.487566896,0.418562342
50,2,1,1.561534983,1.473787766,1.287494554
50,3,0.01,0.268870127,0.243672254,0.151806783
50,3,0.1,0.371410202,0.29898262,0.225239979
50,3,1,1.067890242,1.450715794,1.363243072
50,4,0.01,0.180630747,0.248923582,0.158194858
50,4,0.1,0.244334695,0.390826524,0.314133051
50,4,1,1.24329468,1.191982805,1.169199873
50,5,0.01,0.187128934,0.174094414,0.107845986
50,5,0.1,0.228226652,0.264595864,0.1919219
50,5,1,1.211438904,1.287793628,1.267710898
50,6,0.01,0.159683548,0.240001204,0.159895055
50,6,0.1,0.262453608,0.245494585,0.193965547
50,6,1,1.425086577,1.414823878,1.288798215
50,7,0.01,0.165667897,0.174276808,0.121090148
50,7,0.1,0.250871009,0.362174767,0.307753852
50,7,1,1.012934578,1.208376017,1.146863689
50,8,0.01,0.239287525,0.286630962,0.173237417
50,8,0.1,0.342583543,0.298037203,0.232511239
50,8,1,0.907976001,1.362296672,1.227129305
50,9,0.01,0.263872801,0.267330087,0.204589982
50,9,0.1,0.296980525,0.354679982,0.302464828
50,9,1,1.229757327,1.277533758,1.171206785
50,10,0.01,0.233708532,0.264408072,0.165198681
50,10,0.1,0.279063026,0.33482969,0.248455098
50,10,1,0.934012141,1.344081194,1.207247476
50,11,0.01,0.230892495,0.216900943,0.11739447
50,11,0.1,0.246863128,0.329502583,0.235356752
50,11,1,0.970305406,1.367262143,1.221742204
50,12,0.01,0.184789904,0.20838492,0.116116062
50,12,0.1,0.324476211,0.314566373,0.216867222
50,12,1,1.011936334,1.263029682,1.152385154
50,13,0.01,0.216616853,0.200775593,0.113616487
50,13,0.1,0.246749091,0.439715184,0.274653446
50,13,1,0.876569833,1.415846234,1.248195564
50,14,0.01,0.211529858,0.234969402,0.098438762
50,14,0.1,0.299141422,0.383000346,0.267862315
50,14,1,1.416382433,1.414872109,1.283847386
50,15,0.01,0.206891763,0.222873377,0.110273929
50,15,0.1,0.312088054,0.366291631,0.226686359
50,15,1,1.199497996,1.229640931,1.092596802
50,16,0.01,0.224804207,0.248241724,0.125850483
50,16,0.1,0.247273148,0.34909475,0.231816425
50,16,1,0.837337255,1.40737806,1.328202599
50,17,0.01,0.245071833,0.278543788,0.146585315
50,17,0.1,0.303801537,0.408647585,0.258551496
50,17,1,0.979402405,1.243789744,1.080111407
50,18,0.01,0.268272618,0.255711315,0.125249932
50,18,0.1,0.273912424,2.605478667,0.719377424
50,18,1,1.143211874,1.2661498,1.121526891
50,19,0.01,0.211021654,0.234044408,0.128440886
50,19,0.1,0.272855396,0.352716511,0.239345287
50,19,1,1.065588184,1.376685753,1.208148251
50,20,0.01,0.257701165,0.43346694,0.143263252
50,20,0.1,0.289576427,0.598125336,0.2386004
50,20,1,1.115675643,1.295416069,1.117393535
100,0,0.01,0.475829859,0.515933917,0.521123954
100,0,0.1,0.563460222,0.615477687,0.619374864
100,0,1,1.572707994,1.536046461,1.555236967
100,1,0.01,0.550036409,0.521953805,0.502551057
100,1,0.1,0.568351314,0.625070013,0.632004747
100,1,1,1.41993703,1.53636058,1.490589898
100,2,0.01,0.280116844,0.307999687,0.270537751
100,2,0.1,0.356199408,0.346719798,0.30675931
100,2,1,1.258813773,1.268882021,1.172720515
100,3,0.01,0.098681974,0.091217029,0.067568319
100,3,0.1,0.204142052,0.228874698,0.183706342
100,3,1,1.117744675,1.151528442,1.089711915
100,4,0.01,0.090029004,0.100871684,0.082763013
100,4,0.1,0.148302697,0.192202269,0.169047903
100,4,1,0.984855845,1.175121071,1.187946485
100,5,0.01,0.124047801,0.121059448,0.103611245
100,5,0.1,0.215737073,0.20725539,0.182015185
100,5,1,1.093344554,1.221669022,1.168103469
100,6,0.01,0.16079182,0.182645047,0.142844194
100,6,0.1,0.179006829,0.218342048,0.195020442
100,6,1,1.0026835,1.286587165,1.210298269
100,7,0.01,0.125644201,0.150466436,0.107892453
100,7,0.1,0.273398276,0.240301489,0.19725729
100,7,1,1.228487788,1.162992949,1.089746463
100,8,0.01,0.160771586,0.157116785,0.095529343
100,8,0.1,0.22359049,0.228751491,0.191843826
100,8,1,1.295605673,1.398685888,1.387153329
100,9,0.01,0.148710252,0.135874635,0.087344345
100,9,0.1,0.267496393,0.290418494,0.234625417
100,9,1,0.950930704,1.167441495,1.111233031
100,10,0.01,0.140579597,0.13925059,0.090684907
100,10,0.1,0.215846704,0.26289962,0.20555231
100,10,1,1.014623036,1.203458708,1.183403272
100,11,0.01,0.134100723,0.144980043,0.096557258
100,11,0.1,0.19292748,0.2223558,0.173144903
100,11,1,1.074283506,1.130252388,1.07694503
100,12,0.01,0.103760148,0.111856153,0.063160863
100,12,0.1,0.199646574,0.19963426,0.147037508
100,12,1,1.117089406,1.176651007,1.117597971
100,13,0.01,0.121837663,0.1339887,0.088736044
100,13,0.1,0.219776109,0.242924154,0.158931441
100,13,1,1.041147848,1.13221278,1.090028163
100,14,0.01,0.166224537,0.193646025,0.09194228
100,14,0.1,0.233805859,0.239902836,0.164958025
100,14,1,1.04750969,1.185886024,1.078656765
100,15,0.01,0.111987728,0.180117657,0.061319053
100,15,0.1,0.179900757,0.259213151,0.178989139
100,15,1,1.075317622,1.147153735,1.057551445
100,16,0.01,0.114872606,0.126400112,0.081023306
100,16,0.1,0.180299329,0.18907117,0.139510488
100,16,1,1.236902052,1.172524853,1.059223107
100,17,0.01,0.107753798,0.110374501,0.06702771
100,17,0.1,0.203550658,0.230305912,0.181197626
100,17,1,1.170885012,1.145923733,1.041699923
100,18,0.01,0.108145607,0.106627276,0.047888486
100,18,0.1,0.202766023,0.225158345,0.15321483
100,18,1,1.317711335,1.148055134,1.136911029
100,19,0.01,0.115705934,0.139996076,0.066828953
100,19,0.1,0.201538045,0.633855933,0.212261328
100,19,1,1.120884548,1.101809012,1.057835121
100,20,0.01,0.135508729,0.141171788,0.070037926
100,20,0.1,0.178101386,0.193447218,0.134212598
100,20,1,1.051450542,1.304637332,1.128193086
200,0,0.01,0.516088251,0.522327807,0.526010641
200,0,0.1,0.628166725,0.60186519,0.614524998
200,0,1,1.808748197,1.518619631,1.5636972
200,1,0.01,0.547012666,0.520836541,0.509989215
200,1,0.1,0.603854088,0.609792724,0.605095851
200,1,1,1.756264932,1.540970622,1.495252099
200,2,0.01,0.271005851,0.270156022,0.226131893
200,2,0.1,0.305269391,0.315269233,0.28974542
200,2,1,1.414479239,1.234318543,1.16211216
200,3,0.01,0.107581705,0.114476033,0.084142487
200,3,0.1,0.192620529,0.187173296,0.170843552
200,3,1,1.127976814,1.133849117,1.061133369
200,4,0.01,0.087033223,0.09836201,0.080356752
200,4,0.1,0.202096002,0.191258423,0.178097449
200,4,1,1.185634728,1.130665277,1.072147022
200,5,0.01,0.090519083,0.098719702,0.078032549
200,5,0.1,0.195062681,0.212710121,0.179167812
200,5,1,1.154853731,1.174998165,1.145650339
200,6,0.01,0.133356138,0.1347629,0.100197545
200,6,0.1,0.224503222,0.237925777,0.203185193
200,6,1,1.366241425,1.185995908,1.157964751
200,7,0.01,0.147960363,0.170424529,0.130595548
200,7,0.1,0.209924813,0.21988676,0.191130858
200,7,1,0.990601304,1.162594611,1.039012422
200,8,0.01,0.170536498,0.163825549,0.102492518
200,8,0.1,0.282883381,0.29255329,0.243922139
200,8,1,1.135749811,1.225793555,1.133703592
200,9,0.01,0.158194326,0.182023335,0.12907198
200,9,0.1,0.258507165,0.263115947,0.21198533
200,9,1,1.058931985,1.165731159,1.094050364
200,10,0.01,0.161631172,0.170751452,0.129708164
200,10,0.1,0.205336111,0.217349491,0.175388117
200,10,1,1.048604823,1.156427984,1.082734294
200,11,0.01,0.161113244,0.168231699,0.101946723
200,11,0.1,0.179888734,0.199572395,0.156605082
200,11,1,1.321577295,1.118101213,1.059240584
200,12,0.01,0.129832366,0.12327757,0.074573108
200,12,0.1,0.210272286,0.221216419,0.180441103
200,12,1,0.892464191,1.101115406,0.990522611
200,13,0.01,0.121308043,0.120102129,0.070988248
200,13,0.1,0.216664521,0.208736058,0.162352627
200,13,1,1.160523131,1.117684066,1.088675546
200,14,0.01,0.113049384,0.123567791,0.070356315
200,14,0.1,0.19400059,0.204794423,0.154962118
200,14,1,1.17109889,1.156129119,1.078933202
200,15,0.01,0.099546712,0.116149566,0.065709039
200,15,0.1,0.189978008,0.217946793,0.16200829
200,15,1,1.068991388,1.138667332,1.052321428
200,16,0.01,0.111764855,0.127390931,0.072565769
200,16,0.1,0.208423395,0.263961434,0.181075253
200,16,1,1.060530796,1.115116134,1.019185276
200,17,0.01,0.10135939,0.100413526,0.059791323
200,17,0.1,0.208671193,0.212151619,0.16859133
200,17,1,1.152131722,1.111454932,1.019867738
200,18,0.01,0.08408966,0.091062293,0.047792486
200,18,0.1,0.21265578,0.211916167,0.157669859
200,18,1,1.138219421,1.185071082,1.102607608
200,19,0.01,0.11240557,0.117307386,0.050964976
200,19,0.1,0.226776282,0.21483072,0.166472504
200,19,1,1.029758127,1.149920422,1.08049862
200,20,0.01,0.111246956,0.106495293,0.063081769
200,20,0.1,0.190871944,0.211838913,0.14504473
200,20,1,1.266208913,1.184315429,1.092919108
